learning_rate,epochs,hidden_layers,activation,optimizer,validation_mse,validation_rmse,validation_R-squared
0.001,200,"[10, 20, 10]",sigmoid,mini-batch,[86.59143404],[9.30545185],[-0.00972993]
0.001,200,"[10, 20, 10]",sigmoid,sgd,[18.64788007],[4.31831913],[0.78254982]
0.001,200,"[10, 20, 10]",sigmoid,batch,[104.19111165],[10.20740475],[-0.21495718]
0.01,200,"[10, 20, 10]",sigmoid,mini-batch,[25.95577146],[5.0946807],[0.69733358]
0.01,200,"[10, 20, 10]",sigmoid,sgd,[14.56833422],[3.81684873],[0.8301208]
0.01,200,"[10, 20, 10]",sigmoid,batch,[86.03928246],[9.27573622],[-0.00329137]
0.001,250,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.70472498],[9.3115372],[-0.011051]
0.001,250,"[10, 20, 30, 20, 10]",sigmoid,sgd,[86.6931832],[9.31091742],[-0.01091641]
0.001,250,"[10, 20, 30, 20, 10]",sigmoid,batch,[89.87221603],[9.48009578],[-0.04798665]
0.01,250,"[10, 20, 30, 20, 10]",sigmoid,mini-batch,[86.66534963],[9.30942263],[-0.01059185]
0.01,250,"[10, 20, 30, 20, 10]",sigmoid,sgd,[25.55801205],[5.05549326],[0.70197179]
0.01,250,"[10, 20, 30, 20, 10]",sigmoid,batch,[86.69445369],[9.31098565],[-0.01093123]
0.001,250,"[10, 20, 10]",sigmoid,mini-batch,[86.35866481],[9.29293629],[-0.00701564]
0.001,250,"[10, 20, 10]",sigmoid,sgd,[15.27695448],[3.90857448],[0.82185769]
0.001,250,"[10, 20, 10]",sigmoid,batch,[90.64940674],[9.5209982],[-0.05704935]
0.01,250,"[10, 20, 10]",sigmoid,mini-batch,[21.44447652],[4.63081813],[0.74993912]
0.01,250,"[10, 20, 10]",sigmoid,sgd,[21.1470806],[4.5985955],[0.75340701]
0.01,250,"[10, 20, 10]",sigmoid,batch,[85.66173815],[9.25536267],[0.00111111]
0.001,50,"[10, 20, 30, 20, 10]",linear,mini-batch,[41.25909237],[6.42332409],[0.51888381]
0.001,50,"[10, 20, 30, 20, 10]",linear,sgd,[38.49903299],[6.2047589],[0.55106846]
0.001,50,"[10, 20, 30, 20, 10]",linear,batch,[80.39631525],[8.96639924],[0.06251043]
0.01,50,"[10, 20, 30, 20, 10]",linear,mini-batch,[1.68700838e+26],[1.29884887e+13],[-1.96719558e+24]
0.01,50,"[10, 20, 30, 20, 10]",linear,batch,[336.77540544],[18.35144151],[-2.9270883]
0.001,50,"[10, 20, 10]",linear,mini-batch,[40.04582296],[6.32817691],[0.53303157]
0.001,50,"[10, 20, 10]",linear,sgd,[38.4418201],[6.20014678],[0.55173561]
0.001,50,"[10, 20, 10]",linear,batch,[56.36773727],[7.50784505],[0.34270414]
0.01,50,"[10, 20, 10]",linear,mini-batch,[50.985332],[7.14040139],[0.40546757]
0.01,50,"[10, 20, 10]",linear,batch,[43.66939658],[6.60828242],[0.49077761]
